experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1819,5,197,0.0218,3.869,3.3281,2.83,177.59,374,711
Ex 3 day 1819,5,198,0.0218,3.8645,3.305,2.83,177.38,354,775
Ex 3 day 1819,5,199,0.0218,3.9336,3.4407,2.83,180.55,304,865
Ex 3 day 1819,5,200,0.0218,3.1717,2.3692,3.77,145.58,333,749
Ex 3 day 1819,5,201,0.0218,3.3804,2.5179,3.3,155.16,329,861
Ex 3 day 1819,5,202,0.0218,3.4754,2.3841,3.3,159.52,389,731
Ex 3 day 1819,5,203,0.0218,3.7306,3.1876,2.83,171.23,332,694
Ex 3 day 1819,5,204,0.0218,3.3598,2.3507,3.3,154.22,337,773
Ex 3 day 1819,5,205,0.0218,3.1056,2.4707,3.77,142.55,354,693
Ex 3 day 1819,5,206,0.0218,3.422,2.8746,2.83,157.07,255,812
Ex 3 day 1819,5,207,0.0218,3.8164,2.6308,3.3,175.17,324,716
Ex 3 day 1819,5,208,0.0218,2.8232,1.8454,4.24,129.59,226,780
Ex 3 day 1819,5,209,0.0218,3.0048,2.383,3.77,137.92,280,731
Ex 3 day 1819,5,210,0.0218,3.3893,2.4197,3.77,155.57,314,766
Ex 3 day 1819,5,211,0.0218,3.5384,3.0233,2.83,162.41,289,770
Ex 3 day 1819,5,212,0.0218,2.7835,1.96,3.3,127.76,266,752
Ex 3 day 1819,5,213,0.0218,2.7837,2.1812,3.77,127.77,245,781
Ex 3 day 1819,5,214,0.0218,3.1314,2.1878,3.3,143.73,221,713
Ex 3 day 1819,5,215,0.0218,2.997,2.5349,2.83,137.56,326,765
Ex 3 day 1819,5,216,0.0218,2.1572,2.0197,3.77,99.02,322,803
Ex 3 day 1819,5,217,0.0218,2.817,1.8638,3.3,129.3,290,743
Ex 3 day 1819,5,218,0.0218,2.8637,1.7926,4.24,131.44,343,725
Ex 3 day 1819,5,219,0.0218,2.8632,1.9357,3.3,131.42,239,759
Ex 3 day 1819,5,220,0.0218,3.2328,2.7997,2.83,148.38,256,789
Ex 3 day 1819,5,221,0.0218,2.823,1.7931,4.24,129.58,372,727
Ex 3 day 1819,5,222,0.0218,3.0848,2.1599,3.3,141.59,245,697
Ex 3 day 1819,5,223,0.0218,3.1346,2.7102,2.83,143.88,280,664
Ex 3 day 1819,5,224,0.0218,2.4443,2.0496,2.83,112.19,298,761
Ex 3 day 1819,5,225,0.0218,2.5987,1.6934,3.3,119.28,295,716
Ex 3 day 1819,5,226,0.0218,2.6318,1.8015,3.3,120.8,350,803
Ex 3 day 1819,5,227,0.0218,2.6286,1.7196,3.3,120.65,332,730
Ex 3 day 1819,5,228,0.0218,2.5763,2.0368,2.83,118.25,307,716
Ex 3 day 1819,5,229,0.0218,3.0196,2.127,3.77,138.6,273,811
Ex 3 day 1819,5,230,0.0218,2.4814,1.9875,2.83,113.9,362,815
Ex 3 day 1819,5,231,0.0218,2.5559,1.8856,3.3,117.32,259,737
Ex 3 day 1819,5,232,0.0218,1.9425,1.6066,2.83,89.16,281,741
Ex 3 day 1819,5,233,0.0218,3.2167,2.5555,2.83,147.64,257,818
Ex 3 day 1819,5,234,0.0218,2.6483,2.3388,2.83,121.56,332,662
Ex 3 day 1819,5,235,0.0218,2.4989,1.9615,2.83,114.7,353,838
Ex 3 day 1819,5,236,0.0218,2.1707,1.8504,2.83,99.64,363,784
Ex 3 day 1819,5,237,0.0218,1.8651,1.3512,2.83,85.61,375,746
Ex 3 day 1819,5,238,0.0218,2.0718,1.5675,5.19,95.1,260,680
Ex 3 day 1819,5,239,0.0218,2.3854,1.7622,3.77,109.49,379,692
Ex 3 day 1819,5,240,0.0218,2.4685,2.1834,2.83,113.31,256,759
Ex 3 day 1819,5,241,0.0218,2.3527,1.7341,3.3,107.99,247,751
Ex 3 day 1819,5,242,0.0218,2.3918,1.6993,3.3,109.78,253,765
Ex 3 day 1819,5,243,0.0218,1.9605,1.6073,2.83,89.99,323,790
Ex 3 day 1819,5,244,0.0218,2.1792,1.5104,3.77,100.03,245,733
Ex 3 day 1819,5,245,0.0218,2.2536,1.2908,3.3,103.44,364,752
Ex 3 day 1819,5,246,0.0218,2.0211,1.7367,2.83,92.77,345,834
Ex 3 day 1819,5,247,0.0218,1.6014,1.2589,2.83,73.51,286,805
Ex 3 day 1819,5,248,0.0218,1.5811,0.9203,3.3,72.57,288,797
Ex 3 day 1819,5,249,0.0218,2.0936,1.549,2.83,96.09,347,813
Ex 3 day 1819,5,250,0.0218,2.2189,1.8289,2.83,101.85,292,857
Ex 3 day 1819,5,251,0.0218,2.0008,1.4497,2.83,91.84,323,843
Ex 3 day 1819,5,252,0.0218,2.314,2.0043,2.83,106.21,382,713
Ex 3 day 1819,5,253,0.0218,1.9704,1.6597,3.77,90.44,287,655
Ex 3 day 1819,5,254,0.0218,2.158,1.96,2.83,99.05,396,781
Ex 3 day 1819,5,255,0.0218,1.9765,1.6718,2.83,90.72,289,778
Ex 3 day 1819,5,256,0.0218,1.5066,1.2124,5.66,69.15,221,829
Ex 3 day 1819,5,257,0.0218,1.6786,1.1648,2.83,77.05,354,814
Ex 3 day 1819,5,258,0.0218,1.3506,1.2517,2.83,61.99,264,785
Ex 3 day 1819,5,259,0.0218,2.1324,1.6024,3.3,97.88,308,769
Ex 3 day 1819,5,260,0.0218,1.796,1.4448,2.83,82.44,332,797
Ex 3 day 1819,5,261,0.0218,1.7455,1.3793,2.83,80.12,363,702
Ex 3 day 1819,5,262,0.0218,1.7927,1.5073,2.83,82.29,281,717
Ex 3 day 1819,5,263,0.0218,1.6474,1.2814,2.83,75.61,317,825
Ex 3 day 1819,5,264,0.0218,1.4553,1.1384,2.83,66.8,341,789
Ex 3 day 1819,5,265,0.0218,1.8071,1.284,3.3,82.94,260,845
Ex 3 day 1819,5,266,0.0218,1.8321,1.3205,2.83,84.09,291,815
Ex 3 day 1819,5,267,0.0218,1.8456,1.2603,3.3,84.71,265,766
Ex 3 day 1819,5,268,0.0218,1.5424,1.1479,4.71,70.8,246,839
Ex 3 day 1819,5,269,0.0218,1.9681,1.5387,3.77,90.33,339,656
Ex 3 day 1819,6,270,0.038,4.0123,2.9523,3.77,105.63,857,882
Ex 3 day 1819,6,271,0.038,3.7204,2.6124,3.3,97.95,801,909
Ex 3 day 1819,6,272,0.038,3.5539,2.6463,3.77,93.56,803,868
Ex 3 day 1819,6,273,0.038,3.184,2.5929,3.77,83.82,840,897
Ex 3 day 1819,6,274,0.038,3.301,2.3233,3.3,86.9,816,898
Ex 3 day 1819,6,275,0.038,2.9779,2.2441,3.77,78.4,798,887
Ex 3 day 1819,6,276,0.038,3.413,2.8557,2.83,89.85,849,922
Ex 3 day 1819,6,277,0.038,2.3863,1.9317,3.77,62.82,777,925
Ex 3 day 1819,6,278,0.038,2.3269,1.7335,3.3,61.26,822,886
Ex 3 day 1819,6,279,0.038,2.4336,1.7072,3.77,64.07,864,913
Ex 3 day 1819,6,280,0.038,2.3486,2.1274,2.83,61.83,840,863
Ex 3 day 1819,6,281,0.038,1.942,1.6848,2.83,51.13,774,899
Ex 3 day 1819,7,282,0.0575,3.6462,3.0734,2.83,63.46,832,934
Ex 3 day 1819,7,283,0.0575,3.3831,2.3625,3.3,58.88,825,991
Ex 3 day 1819,7,284,0.0575,3.3503,2.3588,3.3,58.31,853,963
Ex 3 day 1819,7,285,0.0575,3.1508,2.0816,4.24,54.84,864,945
Ex 3 day 1819,7,286,0.0575,3.1164,2.7171,2.83,54.24,809,970
Ex 3 day 1819,7,287,0.0575,2.8263,2.4858,2.83,49.19,855,983
Ex 3 day 1819,7,288,0.0575,1.9913,1.2997,3.3,34.66,852,933
Ex 3 day 1819,7,289,0.0575,2.6719,2.3223,2.83,46.51,802,974
Ex 3 day 1819,7,290,0.0575,2.5335,2.1045,2.83,44.1,808,934
Ex 3 day 1819,7,291,0.0575,2.0217,1.3609,4.24,35.19,843,944
Ex 3 day 1819,7,292,0.0575,2.2683,2.0332,2.83,39.48,885,952
Ex 3 day 1819,7,293,0.0575,2.2647,1.9467,2.83,39.42,857,956
Ex 3 day 1819,7,294,0.0575,1.6534,1.4315,2.83,28.78,837,958
Ex 3 day 1819,8,295,0.0327,4.7969,4.1222,2.83,146.84,895,994
Ex 3 day 1819,8,296,0.0327,3.6112,2.6619,3.3,110.55,860,1015
Ex 3 day 1819,8,297,0.0327,3.4489,2.4998,3.3,105.58,915,1000
Ex 3 day 1819,8,298,0.0327,3.3563,2.279,3.3,102.75,916,958
Ex 3 day 1819,8,299,0.0327,3.5298,2.4723,3.3,108.06,902,980
Ex 3 day 1819,8,300,0.0327,3.1786,2.3483,3.3,97.31,889,961
Ex 3 day 1819,8,301,0.0327,2.623,2.035,3.3,80.29,882,978
Ex 3 day 1819,8,302,0.0327,2.5871,1.9037,3.77,79.2,929,978
Ex 3 day 1819,8,303,0.0327,2.4744,2.1409,2.83,75.75,903,1026
Ex 3 day 1819,8,304,0.0327,2.2278,1.6035,3.3,68.2,923,1007
Ex 3 day 1819,8,305,0.0327,1.7436,1.0712,3.3,53.37,898,1007
Ex 3 day 1819,8,306,0.0327,1.7817,1.5829,2.83,54.54,870,977
Ex 3 day 1819,8,307,0.0327,1.6606,1.1178,3.3,50.83,882,1012
Ex 3 day 1819,8,308,0.0327,1.852,1.4456,2.83,56.69,896,974
